Age,Income,EmploymentStatus,YearsAtJob,Dependents,DebtToIncome,ExistingLoan,CreditScore,Approved
21,72672,Employed,14,1,0.48,No,442,1
18,111891,Employed,15,2,0.34,No,605,1
25,96860,Employed,29,0,0.15,Yes,671,1
46,113685,Employed,6,0,0.22,No,692,1
56,88754,Unemployed,6,4,0.44,No,403,0
20,105677,Employed,21,3,0.55,No,445,1
49,122320,Self-Employed,8,3,0.31,Yes,300,1
27,22837,Employed,16,1,0.38,No,424,1
27,145261,Employed,12,1,0.21,No,669,1
36,140688,Employed,8,1,0.31,No,335,1
63,134616,Employed,28,4,0.27,No,541,1
51,125338,Employed,8,0,0.43,Yes,789,1
50,60077,Employed,19,1,0.59,No,464,1
40,99915,Employed,28,4,0.51,No,421,1
45,24239,Self-Employed,27,2,0.2,No,375,1
49,130432,Employed,11,0,0.39,Yes,632,1
24,106348,Self-Employed,20,2,0.13,Yes,385,1
46,49669,Employed,18,3,0.22,No,771,1
25,68624,Self-Employed,22,3,0.19,Yes,669,1
18,95147,Employed,14,0,0.27,No,636,1
20,24150,Self-Employed,17,1,0.44,No,364,0
41,144210,Unemployed,7,0,0.35,No,838,1
40,31109,Unemployed,24,1,0.57,Yes,691,0
25,119750,Employed,5,3,0.21,Yes,305,1
64,46016,Unemployed,24,0,0.28,No,688,1
54,31936,Employed,5,0,0.26,Yes,737,1
20,31036,Unemployed,2,1,0.22,Yes,416,0
50,59236,Employed,25,3,0.6,No,445,1
45,34021,Employed,2,3,0.29,No,396,1
64,140478,Employed,1,1,0.57,No,609,1
25,56943,Employed,4,1,0.3,No,461,1
51,133694,Self-Employed,28,1,0.2,No,587,1
52,123384,Unemployed,29,3,0.16,Yes,640,1
49,101007,Self-Employed,19,3,0.53,No,824,1
41,133197,Self-Employed,11,0,0.12,No,819,1
31,70016,Self-Employed,5,3,0.58,No,727,1
49,43244,Employed,15,2,0.31,No,713,1
63,83027,Employed,4,2,0.22,No,563,1
60,134313,Employed,5,1,0.41,No,646,1
33,143351,Employed,3,1,0.17,Yes,658,1
21,58985,Employed,13,1,0.14,No,435,1
54,123976,Employed,28,0,0.51,No,616,1
38,21502,Employed,2,2,0.31,Yes,762,1
31,73836,Employed,16,2,0.36,Yes,498,0
48,119714,Unemployed,4,3,0.19,Yes,375,0
35,23770,Employed,21,2,0.13,Yes,719,1
24,62865,Employed,20,3,0.28,No,662,1
27,73811,Employed,20,0,0.35,Yes,745,1
24,24001,Employed,27,1,0.48,No,702,1
50,80848,Employed,5,1,0.35,No,317,1
40,72635,Employed,19,3,0.49,No,668,1
38,40946,Employed,29,4,0.16,No,813,1
36,86134,Employed,27,3,0.13,No,329,1
36,115852,Employed,3,0,0.18,Yes,734,1
53,111103,Employed,26,2,0.49,Yes,471,1
46,112044,Self-Employed,12,3,0.48,No,549,1
35,63744,Employed,7,0,0.17,No,790,1
19,137729,Employed,10,1,0.12,No,346,1
18,142848,Employed,23,4,0.44,No,598,1
64,59159,Unemployed,27,4,0.53,No,822,1
22,115812,Employed,18,3,0.48,No,769,1
37,43671,Self-Employed,22,2,0.2,No,725,1
28,36450,Self-Employed,4,3,0.39,Yes,574,0
59,34908,Employed,4,4,0.48,No,686,1
19,77275,Employed,27,4,0.23,No,815,1
20,64358,Employed,28,1,0.36,Yes,782,1
40,69047,Employed,2,2,0.26,Yes,755,1
29,55518,Employed,1,2,0.21,Yes,461,0
37,77813,Employed,28,4,0.58,Yes,606,1
22,116748,Employed,2,4,0.56,Yes,714,1
54,128220,Employed,14,3,0.32,No,638,1
55,26806,Unemployed,6,3,0.17,No,336,1
47,124733,Employed,2,1,0.46,No,523,1
26,60891,Unemployed,14,4,0.23,No,358,1
51,146865,Unemployed,10,3,0.18,Yes,519,1
61,103551,Unemployed,15,1,0.29,Yes,660,1
52,149335,Unemployed,12,2,0.36,Yes,324,0
39,59220,Employed,1,4,0.15,No,752,1
61,37158,Employed,19,0,0.39,Yes,506,0
41,100992,Employed,11,4,0.11,No,324,1
34,47588,Employed,20,3,0.55,Yes,383,0
27,82576,Unemployed,28,4,0.56,Yes,547,0
47,108027,Unemployed,6,0,0.47,Yes,547,0
63,44188,Employed,0,4,0.33,No,350,0
40,112615,Employed,13,3,0.23,Yes,821,1
49,78830,Employed,23,2,0.47,Yes,476,0
34,24019,Employed,9,3,0.57,No,424,1
34,32419,Employed,2,1,0.18,No,465,1
31,53697,Employed,29,3,0.33,No,647,1
26,104932,Unemployed,10,1,0.26,No,425,1
57,139712,Employed,21,4,0.28,No,668,1
19,124568,Unemployed,19,1,0.3,Yes,546,0
62,115428,Self-Employed,29,4,0.58,No,369,1
42,27973,Unemployed,20,1,0.23,No,822,1
56,128001,Employed,25,3,0.35,No,382,1
26,106649,Unemployed,27,0,0.58,No,699,1
39,142649,Self-Employed,14,4,0.34,No,685,1
60,31136,Employed,5,1,0.53,No,357,1
63,104739,Employed,17,0,0.13,Yes,773,1
21,82502,Unemployed,12,1,0.58,No,378,0
43,51285,Employed,14,1,0.19,No,484,1
46,43039,Employed,2,1,0.59,No,376,0
62,86720,Employed,14,3,0.19,No,370,1
51,143168,Self-Employed,23,1,0.32,No,415,1
40,108263,Unemployed,23,0,0.25,No,484,1
54,79155,Employed,0,1,0.32,No,622,1
28,36911,Employed,9,2,0.23,Yes,314,0
23,20916,Unemployed,23,4,0.58,No,741,1
35,79052,Self-Employed,26,3,0.25,No,814,1
38,89110,Unemployed,17,2,0.43,Yes,357,0
59,121623,Employed,25,2,0.17,No,582,1
53,37790,Employed,25,0,0.51,No,698,1
58,103161,Employed,28,0,0.37,No,711,1
55,25206,Self-Employed,7,3,0.59,No,736,1
51,141937,Employed,11,3,0.31,Yes,310,1
34,105053,Employed,25,4,0.2,No,490,1
54,69950,Employed,4,1,0.27,No,815,1
42,136211,Employed,0,3,0.47,No,359,1
55,76361,Unemployed,7,3,0.43,No,455,0
29,81451,Employed,27,1,0.49,Yes,437,0
40,57696,Self-Employed,4,4,0.14,No,768,1
59,101641,Unemployed,16,0,0.39,No,614,1
39,121192,Employed,14,4,0.57,No,478,1
38,88226,Self-Employed,3,1,0.15,No,345,1
44,122395,Unemployed,12,0,0.15,No,696,1
48,141970,Unemployed,16,0,0.46,Yes,648,0
23,144121,Employed,12,0,0.26,No,431,1
44,66728,Employed,24,4,0.43,No,710,1
57,75401,Employed,25,1,0.37,No,435,1
51,86226,Self-Employed,1,4,0.59,No,325,0
29,45103,Self-Employed,23,4,0.54,No,812,1
62,54263,Self-Employed,3,2,0.44,Yes,790,1
24,146705,Employed,24,3,0.23,Yes,767,1
27,96621,Employed,1,4,0.23,Yes,338,0
62,70044,Employed,11,2,0.54,No,326,1
34,77730,Employed,18,1,0.39,No,497,1
43,45825,Self-Employed,17,2,0.49,No,827,1
38,96256,Employed,9,4,0.32,No,622,1
45,124177,Employed,29,1,0.15,Yes,321,1
63,57271,Employed,4,2,0.27,No,372,1
19,97256,Employed,10,4,0.18,No,740,1
60,66732,Employed,0,1,0.49,No,691,1
18,86433,Employed,27,1,0.45,Yes,631,1
53,102630,Employed,2,3,0.14,No,300,1
43,121999,Employed,16,4,0.41,Yes,737,1
46,120990,Employed,25,3,0.54,Yes,507,1
38,43572,Self-Employed,14,1,0.45,No,313,0
28,58546,Employed,13,1,0.36,No,521,1
57,142456,Self-Employed,23,2,0.26,No,543,1
28,35150,Self-Employed,14,3,0.54,No,574,0
53,74165,Employed,15,0,0.31,No,407,1
56,83690,Unemployed,27,4,0.53,No,629,1
57,73664,Employed,3,3,0.49,Yes,424,0
52,102335,Self-Employed,18,1,0.51,No,392,1
51,95199,Unemployed,23,2,0.59,Yes,711,1
64,148511,Unemployed,28,4,0.47,No,536,1
41,56948,Employed,24,4,0.12,Yes,508,1
39,57030,Employed,7,2,0.2,No,618,1
22,47007,Employed,5,1,0.12,Yes,322,1
50,120819,Self-Employed,15,0,0.19,Yes,726,1
53,111207,Self-Employed,29,2,0.13,No,309,1
64,110921,Employed,2,0,0.35,No,476,1
37,96772,Employed,7,3,0.11,No,589,1
36,42024,Self-Employed,28,4,0.34,Yes,379,0
52,132408,Employed,4,1,0.55,Yes,705,1
60,59384,Unemployed,4,0,0.47,No,399,0
34,102912,Self-Employed,11,1,0.57,No,718,1
62,144161,Employed,24,3,0.21,No,322,1
60,122674,Self-Employed,0,0,0.37,No,689,1
51,38157,Employed,6,1,0.26,No,546,1
26,105481,Employed,23,1,0.35,No,785,1
43,122120,Unemployed,10,3,0.38,No,817,1
19,108553,Unemployed,9,2,0.12,No,318,1
26,21756,Employed,2,3,0.22,Yes,790,1
26,120677,Employed,7,0,0.45,No,409,1
57,88112,Employed,0,0,0.49,No,695,1
34,111003,Employed,7,4,0.38,No,312,1
18,122488,Employed,22,1,0.24,No,641,1
42,116741,Employed,19,0,0.3,Yes,458,1
60,78051,Employed,10,2,0.15,Yes,632,1
57,120701,Employed,6,2,0.58,Yes,322,1
59,84595,Employed,25,3,0.53,No,539,1
42,98210,Unemployed,29,0,0.13,No,494,1
56,63094,Self-Employed,26,0,0.18,Yes,437,1
52,128850,Employed,15,4,0.39,Yes,809,1
20,107889,Employed,6,4,0.22,Yes,522,1
54,115385,Employed,12,4,0.57,Yes,727,1
61,24535,Employed,9,0,0.48,No,754,1
61,76035,Employed,28,3,0.24,Yes,307,1
47,142815,Unemployed,27,3,0.1,No,515,1
55,67367,Self-Employed,16,3,0.5,No,583,1
51,127472,Self-Employed,2,3,0.31,Yes,792,1
29,37118,Employed,6,2,0.42,No,738,1
36,79812,Unemployed,10,0,0.24,No,622,1
54,79884,Unemployed,12,1,0.17,Yes,712,1
61,86168,Employed,4,0,0.44,No,516,1
34,33280,Employed,24,3,0.33,Yes,444,0
27,34746,Employed,22,2,0.22,Yes,473,0
64,122572,Employed,18,2,0.17,Yes,569,1
29,73251,Self-Employed,14,0,0.39,No,328,1
33,104821,Employed,0,1,0.46,No,519,1
41,103583,Employed,4,3,0.24,No,800,1
36,133625,Employed,29,2,0.47,No,348,1
25,30207,Employed,12,3,0.19,Yes,301,1
48,91127,Unemployed,9,3,0.27,No,369,1
38,47757,Employed,28,3,0.47,No,345,1
34,36226,Self-Employed,4,4,0.43,No,362,0
40,115268,Employed,22,3,0.24,No,791,1
54,81407,Employed,29,3,0.16,No,796,1
33,47206,Employed,0,1,0.12,No,326,1
23,40256,Self-Employed,9,1,0.52,No,490,0
25,53822,Employed,17,4,0.14,Yes,527,1
42,61340,Employed,26,4,0.16,Yes,523,1
35,131883,Employed,21,3,0.22,Yes,594,1
42,72234,Employed,7,2,0.32,Yes,357,1
29,63351,Unemployed,19,2,0.49,No,828,1
32,126311,Employed,2,0,0.22,Yes,795,1
43,68671,Employed,18,2,0.37,No,337,1
58,95320,Employed,18,2,0.15,No,397,1
62,122565,Unemployed,1,1,0.33,No,357,0
43,145627,Employed,16,0,0.19,Yes,646,1
64,55157,Self-Employed,15,0,0.21,Yes,828,1
49,39937,Unemployed,20,1,0.28,Yes,834,1
27,74290,Employed,9,2,0.48,No,781,1
33,66707,Employed,20,2,0.47,No,512,1
24,31219,Employed,15,0,0.31,No,447,1
34,29399,Unemployed,4,2,0.16,No,395,0
40,146733,Employed,19,0,0.24,No,759,1
43,118848,Employed,2,2,0.35,Yes,559,0
38,47657,Self-Employed,27,3,0.53,No,372,0
39,40047,Employed,2,1,0.58,No,630,1
24,120543,Employed,1,4,0.42,Yes,348,0
31,96095,Employed,20,3,0.28,No,521,1
32,105693,Employed,3,2,0.45,No,664,1
24,120931,Employed,21,4,0.27,No,804,1
26,92154,Employed,17,3,0.41,No,331,1
25,64891,Unemployed,1,1,0.22,No,839,1
40,26780,Employed,23,4,0.23,No,336,1
46,47050,Unemployed,5,4,0.14,No,478,1
35,93551,Self-Employed,2,1,0.31,No,356,1
48,88666,Employed,20,3,0.41,No,635,1
47,113619,Self-Employed,2,4,0.49,No,795,1
56,102016,Employed,26,1,0.51,No,494,1
52,133135,Unemployed,1,3,0.6,No,302,0
35,73010,Unemployed,2,2,0.14,No,501,1
59,121012,Employed,16,0,0.35,Yes,490,1
56,58165,Employed,13,2,0.36,Yes,506,0
34,31528,Employed,6,2,0.5,Yes,410,0
31,140840,Employed,21,0,0.23,No,646,1
48,69608,Employed,20,2,0.13,Yes,805,1
41,25914,Employed,5,2,0.26,Yes,433,0
52,57136,Self-Employed,7,1,0.59,Yes,580,0
61,31179,Employed,18,1,0.55,No,525,1
62,106008,Unemployed,18,3,0.3,Yes,837,1
51,32076,Unemployed,11,4,0.54,No,515,0
20,143911,Employed,4,3,0.12,No,591,1
54,44783,Unemployed,4,1,0.26,No,320,0
60,136625,Employed,13,1,0.46,No,521,1
57,66716,Employed,26,0,0.21,Yes,639,1
43,70298,Self-Employed,16,0,0.2,No,673,1
40,74304,Employed,15,1,0.53,No,745,1
61,99360,Employed,3,2,0.41,Yes,678,1
56,89835,Unemployed,24,3,0.59,No,830,1
32,149541,Unemployed,7,1,0.17,No,694,1
21,132424,Self-Employed,2,1,0.28,No,655,1
46,28118,Self-Employed,20,0,0.26,Yes,740,1
39,96292,Employed,4,3,0.54,No,513,1
42,143322,Employed,22,3,0.23,No,427,1
30,76911,Self-Employed,23,4,0.28,No,811,1
35,93489,Employed,24,1,0.17,No,752,1
50,123088,Employed,6,4,0.49,No,617,1
33,35185,Employed,17,0,0.22,Yes,344,0
62,61792,Self-Employed,23,4,0.13,No,356,1
59,100210,Employed,7,2,0.32,No,685,1
61,70613,Self-Employed,10,1,0.3,Yes,482,0
19,130012,Employed,28,1,0.19,Yes,616,1
52,53927,Employed,13,3,0.17,Yes,707,1
59,20386,Employed,17,4,0.55,Yes,816,1
51,112153,Employed,12,3,0.13,Yes,775,1
47,92728,Unemployed,5,4,0.15,No,318,1
30,96281,Employed,12,4,0.22,No,330,1
30,50020,Employed,25,0,0.58,Yes,790,1
35,62678,Employed,0,4,0.14,No,767,1
49,106695,Employed,10,3,0.51,No,695,1
49,81394,Employed,6,4,0.55,Yes,718,1
52,88945,Employed,9,4,0.29,Yes,672,1
56,135377,Unemployed,1,1,0.25,Yes,627,0
63,141716,Self-Employed,15,1,0.44,No,836,1
46,76414,Employed,4,1,0.45,No,452,1
46,74816,Employed,15,2,0.49,Yes,597,0
61,75918,Employed,29,1,0.52,Yes,442,0
33,111281,Employed,22,2,0.23,No,834,1
61,131484,Self-Employed,25,2,0.44,No,411,1
64,135640,Unemployed,15,3,0.17,No,568,1
27,82694,Employed,26,1,0.36,No,395,1
47,49455,Unemployed,14,4,0.41,Yes,630,0
42,124446,Employed,8,0,0.18,No,471,1
56,58735,Employed,29,4,0.14,No,761,1
37,114702,Employed,0,1,0.2,No,590,1
22,125509,Employed,8,4,0.31,No,534,1
18,113608,Unemployed,10,1,0.54,No,718,1
47,134310,Employed,4,1,0.37,Yes,605,1
20,32109,Employed,5,4,0.47,Yes,787,1
62,65802,Unemployed,29,2,0.19,No,386,1
31,88020,Unemployed,7,3,0.15,No,632,1
47,54622,Self-Employed,14,3,0.22,Yes,597,0
21,129935,Unemployed,26,3,0.26,No,442,1
35,149368,Employed,15,3,0.37,No,359,1
54,137919,Unemployed,29,0,0.54,Yes,301,0
42,22597,Self-Employed,17,1,0.31,No,716,1
18,60597,Unemployed,11,0,0.36,Yes,452,0
63,60954,Self-Employed,22,3,0.1,No,553,1
32,89519,Employed,27,3,0.12,No,667,1
26,76115,Self-Employed,3,4,0.14,No,324,1
32,124988,Employed,24,3,0.45,Yes,432,1
41,63151,Employed,21,1,0.34,No,542,1
21,145515,Employed,15,3,0.2,Yes,361,1
29,37040,Unemployed,22,3,0.4,No,726,1
54,64772,Employed,10,0,0.37,No,751,1
54,142431,Employed,21,1,0.14,No,377,1
60,116090,Employed,26,2,0.42,No,404,1
23,83832,Unemployed,23,4,0.48,No,679,1
56,47916,Employed,21,2,0.24,Yes,693,1
63,64871,Self-Employed,6,0,0.44,No,414,1
41,141527,Unemployed,23,3,0.2,Yes,839,1
28,46372,Employed,14,4,0.48,Yes,347,0
30,81707,Employed,16,1,0.56,No,487,1
51,59080,Self-Employed,14,4,0.32,No,813,1
42,126242,Unemployed,9,0,0.22,Yes,350,0
24,62722,Self-Employed,27,3,0.3,No,525,1
21,140864,Employed,3,0,0.23,No,667,1
25,49048,Unemployed,21,1,0.1,No,379,1
37,105205,Employed,16,2,0.43,No,505,1
46,29777,Employed,3,3,0.12,No,698,1
62,74711,Unemployed,21,3,0.21,No,826,1
63,56331,Employed,22,0,0.46,No,516,1
27,145320,Self-Employed,28,0,0.43,Yes,342,0
60,40968,Employed,21,0,0.14,No,755,1
51,73969,Unemployed,10,3,0.43,No,593,0
43,123345,Employed,3,0,0.57,No,798,1
58,31292,Employed,11,4,0.14,No,537,1
20,140870,Unemployed,28,4,0.31,Yes,606,1
23,60794,Employed,22,4,0.46,No,453,1
22,99459,Employed,9,3,0.43,Yes,396,0
22,137932,Unemployed,13,0,0.21,No,473,1
64,70192,Employed,17,1,0.18,No,392,1
40,47703,Unemployed,5,0,0.49,No,328,0
26,104193,Employed,4,3,0.58,No,360,1
52,89165,Employed,1,4,0.48,No,340,0
37,87650,Self-Employed,24,3,0.58,Yes,793,1
59,76516,Self-Employed,12,0,0.4,Yes,594,0
52,119981,Employed,22,3,0.56,No,595,1
35,149858,Employed,13,1,0.45,No,478,1
34,121398,Unemployed,2,3,0.55,No,557,0
41,111110,Employed,22,2,0.18,Yes,748,1
20,117885,Employed,10,3,0.51,No,606,1
49,42257,Employed,26,0,0.2,No,419,1
52,120588,Employed,21,2,0.11,Yes,563,1
55,123356,Employed,22,4,0.36,No,586,1
30,141750,Employed,3,0,0.26,No,487,1
64,103509,Employed,12,1,0.12,No,541,1
42,111273,Employed,28,3,0.59,No,504,1
26,71672,Employed,25,3,0.43,No,578,1
21,83308,Self-Employed,28,0,0.55,No,694,1
31,97583,Employed,7,3,0.6,Yes,771,1
54,139336,Unemployed,7,3,0.3,No,676,1
51,42113,Self-Employed,22,4,0.23,No,624,1
28,20694,Employed,12,3,0.19,No,311,1
58,142495,Self-Employed,22,3,0.36,Yes,591,0
20,35588,Employed,9,4,0.4,Yes,356,0
45,81756,Self-Employed,12,3,0.34,Yes,453,0
46,84085,Unemployed,12,4,0.29,No,763,1
26,131359,Employed,23,1,0.18,No,815,1
20,134384,Self-Employed,16,3,0.32,Yes,321,1
42,81142,Employed,5,0,0.14,Yes,406,1
51,84373,Employed,1,2,0.53,No,625,1
29,105603,Unemployed,16,1,0.12,No,725,1
59,26704,Employed,11,3,0.29,No,538,1
26,60136,Employed,25,0,0.15,Yes,640,1
32,87507,Employed,22,2,0.49,No,338,1
57,67361,Self-Employed,5,4,0.26,No,329,1
42,78847,Employed,4,3,0.16,Yes,713,1
22,126359,Unemployed,4,4,0.37,Yes,460,0
28,31441,Employed,24,1,0.56,Yes,608,0
51,117012,Employed,8,2,0.55,Yes,713,1
41,138906,Self-Employed,27,2,0.22,No,433,1
32,34677,Employed,27,4,0.46,No,634,1
55,47818,Self-Employed,21,4,0.12,No,335,1
25,21868,Employed,28,1,0.17,No,379,1
22,103591,Employed,2,0,0.35,No,736,1
43,143962,Employed,22,3,0.21,No,419,1
35,87264,Unemployed,19,0,0.5,Yes,433,0
23,93168,Employed,4,2,0.57,No,704,1
54,32043,Self-Employed,6,3,0.1,No,564,1
30,91939,Employed,11,1,0.22,Yes,532,1
45,35732,Employed,6,0,0.32,No,746,1
22,75244,Employed,9,0,0.38,No,726,1
30,38526,Unemployed,7,3,0.56,No,327,0
34,29340,Self-Employed,16,1,0.55,No,600,1
57,124488,Self-Employed,4,1,0.42,No,328,1
62,42394,Employed,14,0,0.23,Yes,676,1
49,118557,Employed,27,0,0.49,No,612,1
46,24102,Employed,8,4,0.2,No,332,1
20,121846,Unemployed,22,3,0.58,Yes,753,1
57,39159,Employed,10,1,0.1,No,800,1
51,142366,Employed,27,2,0.38,No,571,1
57,85092,Employed,12,3,0.14,Yes,800,1
44,26212,Employed,17,4,0.3,No,381,1
30,117360,Employed,16,3,0.42,No,445,1
62,57405,Unemployed,23,0,0.44,No,583,0
50,97061,Employed,8,3,0.49,No,435,1
23,114296,Unemployed,9,3,0.4,No,471,1
41,75186,Unemployed,4,3,0.23,Yes,309,0
36,64239,Employed,29,2,0.54,Yes,596,0
33,130804,Employed,10,4,0.51,No,629,1
57,112993,Employed,21,3,0.18,No,732,1
45,143145,Unemployed,14,3,0.51,Yes,747,1
50,133551,Employed,1,2,0.59,No,314,1
58,30532,Employed,26,1,0.42,No,515,1
30,99054,Employed,20,3,0.24,No,552,1
60,92012,Employed,27,3,0.4,No,629,1
62,137836,Employed,19,1,0.27,No,729,1
42,105279,Employed,23,3,0.44,Yes,358,1
59,86540,Self-Employed,23,3,0.37,No,475,1
53,128590,Unemployed,13,3,0.56,Yes,673,1
44,123021,Employed,4,4,0.41,No,594,1
55,23271,Employed,26,0,0.21,No,606,1
24,65482,Unemployed,23,4,0.46,No,647,1
22,20209,Employed,5,1,0.25,No,660,1
60,110999,Unemployed,25,4,0.24,Yes,365,0
62,25539,Employed,21,4,0.3,No,815,1
48,134841,Self-Employed,28,2,0.11,No,534,1
40,39977,Employed,14,1,0.58,Yes,732,1
59,94142,Employed,28,1,0.37,No,686,1
27,129920,Unemployed,3,1,0.49,No,331,0
49,148156,Employed,9,4,0.23,No,525,1
60,119588,Employed,27,1,0.47,No,443,1
47,88684,Employed,26,2,0.38,No,751,1
56,119072,Unemployed,18,3,0.31,No,317,1
48,143862,Employed,8,4,0.59,No,689,1
35,25607,Unemployed,20,3,0.35,No,661,1
53,105122,Employed,25,3,0.43,Yes,620,1
19,114786,Employed,9,4,0.11,Yes,592,1
31,146406,Self-Employed,3,4,0.25,No,372,1
30,71939,Employed,21,1,0.54,No,399,1
46,38594,Employed,29,2,0.48,No,781,1
29,78382,Employed,3,4,0.37,Yes,555,0
56,27399,Employed,5,3,0.55,No,614,1
19,141026,Self-Employed,25,4,0.34,No,461,1
49,146812,Employed,7,2,0.38,Yes,592,1
30,45117,Employed,15,0,0.29,No,461,1
63,118662,Employed,7,3,0.41,Yes,608,1
44,53617,Employed,27,0,0.26,Yes,442,1
58,27498,Employed,15,0,0.29,No,522,1
34,122826,Unemployed,5,2,0.58,No,606,1
57,137232,Unemployed,16,4,0.16,No,313,1
48,149851,Employed,28,0,0.15,No,479,1
51,131077,Employed,0,1,0.12,Yes,812,1
41,136519,Unemployed,29,4,0.26,No,526,1
62,70624,Employed,18,3,0.3,No,758,1
52,29628,Employed,17,4,0.15,Yes,444,1
23,20329,Self-Employed,16,2,0.37,No,782,1
36,58619,Employed,16,2,0.39,Yes,732,1
47,27032,Employed,27,3,0.48,Yes,541,0
24,68094,Unemployed,11,3,0.59,No,576,0
27,58034,Self-Employed,11,3,0.41,No,487,1
58,122658,Employed,5,2,0.16,No,399,1
49,141123,Employed,6,4,0.14,No,821,1
51,142666,Employed,7,0,0.49,Yes,383,1
45,106158,Self-Employed,2,0,0.43,No,352,1
32,75264,Employed,16,1,0.18,No,426,1
47,114120,Employed,20,2,0.23,No,585,1
54,67850,Unemployed,7,3,0.48,No,354,0
46,24722,Employed,27,4,0.38,Yes,320,0
39,37772,Employed,26,2,0.39,No,599,1
21,106105,Employed,29,1,0.21,No,658,1
37,61679,Employed,10,0,0.41,No,442,1
49,88771,Employed,19,4,0.49,No,301,1
53,24576,Unemployed,17,0,0.54,No,656,1
21,46707,Unemployed,15,4,0.47,Yes,751,0
44,119404,Employed,24,3,0.39,No,346,1
34,61632,Employed,27,4,0.44,No,726,1
29,61476,Employed,12,3,0.34,No,838,1
39,137220,Employed,8,2,0.21,No,847,1
34,50285,Employed,18,0,0.54,No,787,1
27,44154,Unemployed,6,4,0.37,Yes,641,0
18,40054,Employed,28,4,0.4,No,828,1
39,37165,Employed,16,1,0.6,Yes,578,0
43,34439,Employed,7,0,0.59,No,471,1
35,138211,Employed,7,2,0.39,No,601,1
31,64518,Employed,28,3,0.12,No,695,1
64,108051,Employed,2,2,0.3,No,824,1
46,46962,Employed,15,1,0.57,Yes,626,0
29,73934,Self-Employed,11,2,0.24,No,749,1
53,128085,Employed,14,3,0.6,No,361,1
52,57763,Employed,20,0,0.14,No,500,1
29,136189,Employed,3,1,0.38,No,369,1
24,130290,Unemployed,22,4,0.36,No,796,1
46,84094,Employed,26,4,0.23,Yes,507,1
28,130814,Employed,6,0,0.57,No,764,1
50,39464,Employed,10,2,0.41,No,777,1
23,62036,Self-Employed,23,4,0.22,Yes,755,1
64,143980,Employed,4,1,0.29,Yes,430,1
32,115949,Employed,12,3,0.46,No,772,1
49,53270,Employed,10,2,0.25,No,576,1
28,62299,Employed,4,3,0.54,No,353,1
40,105805,Employed,7,2,0.18,Yes,689,1
43,51541,Employed,20,1,0.23,No,514,1
51,93545,Unemployed,28,3,0.17,No,310,1
63,102543,Self-Employed,29,1,0.15,No,753,1
51,111998,Employed,28,3,0.25,Yes,710,1
46,149188,Employed,16,2,0.6,No,408,1
21,97078,Employed,10,1,0.15,No,326,1
34,102970,Employed,18,2,0.21,No,715,1
52,49765,Unemployed,17,2,0.24,No,648,1
30,43769,Unemployed,27,3,0.41,No,588,0
58,108001,Employed,9,3,0.47,Yes,816,1
56,107404,Employed,4,1,0.48,No,785,1
32,40156,Employed,28,4,0.1,No,564,1
46,105836,Self-Employed,23,0,0.43,No,524,1
46,138706,Self-Employed,24,3,0.42,Yes,649,1
28,70481,Unemployed,24,2,0.36,Yes,388,0
49,33435,Self-Employed,0,0,0.29,No,402,0
19,89650,Employed,16,1,0.5,No,629,1
64,66336,Self-Employed,16,0,0.27,Yes,424,0
31,56135,Self-Employed,0,0,0.22,Yes,603,0
37,93631,Employed,24,4,0.26,No,382,1
39,57909,Employed,0,4,0.32,Yes,566,0
28,89487,Self-Employed,22,0,0.21,No,700,1
44,41468,Employed,21,4,0.4,No,685,1
20,112609,Self-Employed,8,4,0.54,No,660,1
34,67655,Self-Employed,26,0,0.4,Yes,356,0
61,54341,Self-Employed,24,3,0.32,No,676,1
45,131663,Self-Employed,3,4,0.5,Yes,486,0
46,84182,Employed,8,0,0.47,Yes,778,1
38,71786,Self-Employed,13,3,0.28,Yes,636,1
64,88304,Employed,14,4,0.4,Yes,393,0
33,123606,Employed,15,0,0.46,No,786,1
54,66514,Employed,15,4,0.22,No,697,1
37,140938,Employed,12,3,0.28,Yes,820,1
23,53979,Employed,13,0,0.15,No,820,1
36,110887,Unemployed,21,3,0.59,No,412,1
22,100981,Employed,20,2,0.14,No,421,1
20,75107,Employed,8,1,0.18,Yes,685,1
18,148842,Employed,22,2,0.34,Yes,641,1
55,134119,Employed,8,4,0.53,Yes,762,1
32,21160,Self-Employed,20,3,0.28,No,681,1
51,107897,Employed,3,0,0.48,No,455,1
52,92577,Self-Employed,9,3,0.44,No,427,1
42,104303,Self-Employed,2,4,0.42,Yes,342,0
41,30846,Employed,20,0,0.52,No,680,1
29,149861,Unemployed,8,2,0.11,No,574,1
35,124180,Employed,18,3,0.56,No,688,1
32,39924,Employed,15,1,0.51,Yes,322,0
61,131193,Unemployed,15,4,0.57,No,683,1
33,33882,Unemployed,16,4,0.5,No,428,0
44,100274,Employed,17,3,0.54,No,710,1
25,106555,Employed,9,2,0.2,No,580,1
63,21095,Employed,20,2,0.26,No,481,1
42,124205,Employed,18,1,0.26,Yes,527,1
34,60983,Unemployed,21,1,0.15,Yes,380,0
46,131215,Employed,14,3,0.46,No,580,1
25,34123,Employed,14,0,0.17,No,473,1
32,113668,Unemployed,10,2,0.13,No,658,1
44,86615,Employed,7,0,0.49,No,674,1
63,115193,Employed,21,0,0.55,Yes,354,1
24,65278,Unemployed,15,3,0.48,No,630,1
20,117911,Unemployed,9,1,0.51,Yes,686,1
